BracketEntryId,SemifinalWinner_East_West,SemifinalWinner_South_Midwest,NationalChampion
2152647,Auburn,Kentucky,Kentucky
2825326,UConn,Tennessee,UConn
527806,UConn,Purdue,UConn
3771133,UConn,Houston,UConn
436437,UConn,Purdue,UConn
2913316,BYU,Texas Tech,BYU
15977,UConn,Marquette,UConn
591592,UConn,Duke,UConn
1145885,UConn,Houston,UConn
694116,UConn,Houston,UConn
1440157,UConn,Houston,Houston
2256563,Arizona,Kansas,Arizona
1357207,UConn,Purdue,Purdue
2405255,Arizona,Tennessee,Arizona
1625264,Arizona,Houston,Houston
1026598,UConn,Tennessee,UConn
3631611,Arizona,Kentucky,Arizona
547742,UConn,Purdue,UConn
1243496,Arizona,Houston,Houston
2866698,North Carolina,Purdue,North Carolina
1368912,UConn,Houston,UConn
2758273,UConn,Houston,UConn
1377743,UConn,Purdue,UConn
3477003,UConn,Houston,UConn
2446405,UConn,Purdue,UConn
3153978,UConn,Gonzaga,UConn
858317,UConn,Duke,UConn
2956896,UConn,Creighton,UConn
3277277,UConn,Purdue,UConn
943383,North Carolina,Houston,Houston
2608286,Arizona,Tennessee,Arizona
2471348,UConn,Houston,UConn
3501880,UConn,Kentucky,UConn
1592908,UConn,Kentucky,UConn
2412063,Arizona,Kentucky,Arizona
3564171,UConn,Purdue,UConn
741121,UConn,Houston,UConn
2200209,UConn,Tennessee,UConn
3433587,Iowa St.,Purdue,Purdue
1474899,UConn,Duke,UConn
2773027,BYU,Utah St.,BYU
3276149,UConn,Kentucky,UConn
391036,Iowa St.,Houston,Houston
2299885,UConn,Houston,UConn
1857223,North Carolina,Houston,Houston
657213,UConn,Houston,UConn
2843770,Arizona,Purdue,Purdue
3205874,UConn,Houston,UConn
3312393,UConn,Kentucky,UConn
352620,Saint Mary's,James Madison,Saint Mary's
2768761,UConn,Purdue,UConn
2553024,Iowa St.,Kentucky,Iowa St.
3332099,Baylor,Tennessee,Tennessee
3084174,UConn,Houston,UConn
890772,UConn,Purdue,UConn
3053860,Arizona,Kentucky,Arizona
3185415,UConn,Kentucky,UConn
2486038,UConn,Tennessee,UConn
911111,UConn,Creighton,UConn
119399,UConn,Kentucky,UConn
2857281,North Carolina,Purdue,Purdue
2806602,UConn,Tennessee,UConn
240398,UConn,Houston,UConn
594612,Iowa St.,Creighton,Iowa St.
3252794,Iowa St.,Houston,Houston
2767467,UConn,Marquette,UConn
2965955,UConn,Houston,UConn
998831,UConn,Kentucky,UConn
2751352,UConn,Houston,UConn
2678511,UConn,Kentucky,UConn
3247268,UConn,Houston,UConn
306369,UConn,Tennessee,UConn
2765291,North Carolina,Houston,North Carolina
2725492,UConn,Houston,UConn
607214,UConn,Purdue,Purdue
3387738,UConn,Houston,UConn
2485106,Arizona,Purdue,Arizona
485394,UConn,Houston,UConn
2581217,UConn,Purdue,UConn
2352067,UConn,Tennessee,UConn
1700751,UConn,Houston,UConn
2521561,Arizona,Houston,Houston
3127903,UConn,Houston,UConn
279791,UConn,Kentucky,UConn
3280942,UConn,Houston,UConn
130599,UConn,Houston,UConn
98949,UConn,Kentucky,UConn
1946968,UConn,Houston,UConn
3026255,UConn,Houston,UConn
624379,Iowa St.,Houston,Houston
2622464,Iowa St.,Houston,Houston
3640181,UConn,Houston,UConn
1054733,UConn,Houston,UConn
2953262,UConn,Kentucky,UConn
796863,UConn,Purdue,UConn
3640873,UConn,Duke,UConn
1130512,UConn,Houston,Houston
663526,North Carolina,Kentucky,North Carolina
1786987,Auburn,Kentucky,Kentucky
2852893,UConn,Purdue,UConn
740045,UConn,Houston,UConn
3419778,North Carolina,Purdue,Purdue
637106,UConn,Houston,UConn
387620,Arizona,Kentucky,Arizona
1885804,North Carolina,Houston,Houston
3493728,UConn,Purdue,UConn
2706966,UConn,Purdue,UConn
3098288,UConn,Purdue,UConn
3634776,UConn,Kentucky,UConn
718187,UConn,Houston,UConn
45951,North Carolina,Duke,North Carolina
3194796,Iowa St.,Kentucky,Kentucky
2984133,UConn,Texas,UConn
593013,North Carolina,Purdue,Purdue
1323424,UConn,Houston,UConn
2958257,UConn,Kentucky,UConn
2361623,UConn,Purdue,UConn
3099039,Iowa St.,Tennessee,Iowa St.
1574879,UConn,Purdue,UConn
810209,UConn,Creighton,UConn
2232495,UConn,Houston,UConn
2220870,UConn,Houston,UConn
588402,UConn,Purdue,UConn
2003273,Auburn,Houston,Houston
3095313,Illinois,Houston,Houston
1266466,Arizona,Houston,Houston
797905,North Carolina,Purdue,North Carolina
3374395,UConn,Houston,UConn
2164580,Arizona,Kentucky,Arizona
1632465,UConn,Houston,UConn
3005753,UConn,Houston,UConn
798361,North Carolina,Houston,Houston
1716504,UConn,Kentucky,UConn
952111,UConn,Houston,UConn
3281564,UConn,Houston,UConn
847265,Auburn,Purdue,Purdue
471597,UConn,Houston,UConn
1945432,North Carolina,Houston,Houston
1202076,UConn,Creighton,UConn
242531,UConn,Kentucky,UConn
503897,UConn,Tennessee,UConn
1403653,UConn,Houston,UConn
1846954,Arizona,Tennessee,Arizona
2473871,Iowa St.,Duke,Iowa St.
1596589,Iowa St.,Marquette,Marquette
3600345,North Carolina,Houston,Houston
2746701,UConn,Tennessee,UConn
2272089,Auburn,Purdue,Purdue
1141367,UConn,Houston,UConn
3737010,UConn,Houston,UConn
2294655,UConn,Gonzaga,UConn
2813738,UConn,Marquette,UConn
2983135,Arizona,Houston,Houston
3242109,UConn,Purdue,UConn
1740147,UConn,Purdue,Purdue
2411268,Arizona,McNeese,McNeese
816987,North Carolina,Purdue,Purdue
1598236,BYU,Texas Tech,BYU
2579481,UConn,Houston,UConn
740405,UConn,Marquette,UConn
3227277,Illinois,South Carolina,Illinois
2210533,UConn,Purdue,UConn
1672236,Iowa St.,Purdue,Purdue
3085909,UConn,Houston,UConn
138922,Arizona,Duke,Arizona
2357481,Iowa St.,Kentucky,Iowa St.
2623976,UConn,Kentucky,UConn
2775619,UConn,Houston,UConn
3397383,UConn,Houston,UConn
1685156,UConn,Houston,UConn
927005,Iowa St.,Kentucky,Kentucky
3508529,UConn,Duke,UConn
3231424,Alabama,Kentucky,Kentucky
2698397,UConn,Houston,UConn
1430971,UConn,Houston,UConn
3543016,UConn,Kentucky,UConn
3480317,UConn,Tennessee,UConn
3467512,UConn,Houston,UConn
1719206,UConn,Houston,UConn
3122386,UConn,Houston,UConn
2284969,North Carolina,Purdue,North Carolina
247548,UConn,Purdue,UConn
2907194,UConn,Kansas,UConn
1399306,UConn,Houston,UConn
2130395,UConn,Houston,UConn
1973188,UConn,Duke,UConn
2727510,UConn,Houston,UConn
13738,North Carolina,Houston,North Carolina
1919779,Iowa St.,Houston,Houston
2360933,Iowa St.,Tennessee,Iowa St.
1440339,North Carolina,Houston,Houston
3040814,UConn,Texas Tech,UConn
1917216,UConn,Purdue,UConn
2730566,UConn,Purdue,Purdue
1495435,UConn,Creighton,Creighton
3094855,Iowa St.,Marquette,Iowa St.
2135202,UConn,McNeese,McNeese
3042298,Arizona,Houston,Houston
426061,UConn,Houston,UConn
2249867,UConn,Houston,UConn
2575782,UConn,Purdue,UConn
2555708,Baylor,Kentucky,Kentucky
597624,North Carolina,Purdue,North Carolina
342493,UConn,Tennessee,UConn
3730643,UConn,Houston,UConn
2932203,North Carolina,Tennessee,North Carolina
923643,Baylor,Creighton,Creighton
701940,Illinois,Tennessee,Illinois
519628,UConn,Houston,UConn
2892497,UConn,Houston,UConn
2689103,UConn,Purdue,UConn
916045,UConn,Creighton,UConn
2808211,North Carolina,Houston,Houston
520029,Iowa St.,Kentucky,Iowa St.
436115,UConn,Kentucky,Kentucky
2441006,UConn,Purdue,UConn
3191863,Auburn,Houston,Auburn
2195660,UConn,Houston,UConn
2786019,UConn,Kentucky,UConn
2590778,Baylor,Kentucky,Kentucky
1264726,Auburn,Houston,Houston
2206006,Iowa St.,Houston,Houston
3469324,UConn,McNeese,McNeese
2277875,UConn,Kentucky,UConn
1439932,UConn,Houston,UConn
3611051,North Carolina,Purdue,Purdue
1956237,Arizona,Houston,Houston
2544425,Arizona,Houston,Houston
3215028,UConn,Purdue,UConn
2316769,UConn,Kentucky,Kentucky
3713601,Iowa St.,Creighton,Creighton
2785006,UConn,Houston,UConn
1419512,Iowa St.,Kentucky,Kentucky
3061703,North Carolina,Kentucky,North Carolina
2058306,UConn,Purdue,UConn
1076248,Auburn,Tennessee,Tennessee
3077185,Arizona,Houston,Arizona
2668514,UConn,McNeese,McNeese
3328249,UConn,Houston,UConn
1418159,UConn,Purdue,UConn
1548889,UConn,Houston,UConn
710568,Baylor,Texas A&M,Texas A&M
1419042,Auburn,Houston,Houston
3197040,UConn,Purdue,UConn
1384269,UConn,Tennessee,UConn
1221903,Arizona,NC State,Arizona
1602447,Auburn,Houston,Auburn
503912,North Carolina,Kentucky,North Carolina
2982369,UConn,Marquette,UConn
652588,UConn,Houston,UConn
2463993,North Carolina,Tennessee,North Carolina
2177267,UConn,Houston,UConn
2340487,UConn,Gonzaga,UConn
1531807,Iowa St.,Purdue,Purdue
1721158,North Carolina,Purdue,Purdue
1517972,Auburn,Houston,Houston
1334795,UConn,Purdue,UConn
649311,UConn,Duke,UConn
3716946,UConn,Marquette,UConn
436826,North Carolina,Kentucky,North Carolina
2257747,Arizona,Houston,Houston
2593788,Auburn,Florida,Auburn
1480157,UConn,Texas Tech,UConn
2064373,UConn,Purdue,UConn
2954108,UConn,Houston,UConn
3505330,UConn,Houston,UConn
2871980,UConn,Purdue,UConn
1819193,UConn,Purdue,UConn
3562400,Iowa St.,Houston,Houston
1348558,UConn,Purdue,UConn
2046904,UConn,Houston,UConn
2143165,Iowa St.,Houston,Houston
1422075,Iowa St.,Tennessee,Iowa St.
3666517,North Carolina,Marquette,North Carolina
3098664,North Carolina,Houston,Houston
541189,UConn,Houston,UConn
1366874,UConn,Houston,UConn
142286,UConn,Purdue,UConn
2873499,North Carolina,Marquette,North Carolina
2165101,North Carolina,Tennessee,North Carolina
314752,UConn,Houston,UConn
1980997,Iowa St.,Houston,Houston
2472259,North Carolina,Creighton,North Carolina
2529271,UConn,Duke,UConn
3622150,UConn,Kentucky,UConn
2694368,UConn,Purdue,UConn
2965637,North Carolina,Houston,Houston
420648,Arizona,Purdue,Purdue
2919223,North Carolina,Houston,Houston
636222,UConn,Duke,UConn
1449145,UConn,Tennessee,UConn
1911077,UConn,Kentucky,UConn
1067350,UConn,Houston,UConn
6888,UConn,Kentucky,UConn
2757617,Iowa St.,Houston,Houston
282443,Arizona,Houston,Houston
1072427,North Carolina,Tennessee,North Carolina
595388,Iowa St.,Houston,Iowa St.
2372634,Arizona,Kentucky,Arizona
1178942,UConn,Kentucky,UConn
3158245,North Carolina,Tennessee,North Carolina
3272055,North Carolina,Kentucky,North Carolina
1288499,UConn,Houston,UConn
3612011,UConn,Purdue,UConn
322544,UConn,Houston,UConn
1939723,Auburn,Kentucky,Kentucky
1875690,North Carolina,Purdue,Purdue
2408647,UConn,Purdue,UConn
246856,Baylor,Houston,Houston
3153186,UConn,Purdue,UConn
3546402,UConn,Houston,UConn
2943104,UConn,Kansas,UConn
2955722,North Carolina,Wisconsin,North Carolina
1819063,UConn,Houston,UConn
1247479,UConn,Kentucky,UConn
2572567,Auburn,Houston,Houston
1722039,Arizona,Houston,Houston
2283440,Iowa St.,Duke,Duke
751323,Auburn,Kentucky,Kentucky
2252179,Mississippi St.,Purdue,Mississippi St.
716280,UConn,Houston,UConn
490733,North Carolina,Tennessee,North Carolina
2219893,Iowa St.,Houston,Houston
3117758,UConn,Houston,UConn
172283,Iowa St.,Purdue,Purdue
2045385,UConn,Kentucky,UConn
1060274,UConn,Purdue,UConn
2101497,UConn,Houston,UConn
2165504,UConn,Houston,UConn
214364,UConn,Houston,UConn
2828345,UConn,Houston,UConn
1168214,UConn,Houston,UConn
1135508,UConn,Houston,UConn
1760854,North Carolina,Purdue,Purdue
2025480,UConn,Houston,UConn
2102761,UConn,Kentucky,UConn
296678,UConn,Houston,UConn
2926665,San Diego St.,Gonzaga,Gonzaga
1564677,Iowa St.,Purdue,Purdue
2525234,UConn,Marquette,UConn
258648,Iowa St.,Marquette,Iowa St.
2812699,Iowa St.,Purdue,Purdue
3203870,UConn,Purdue,UConn
1122476,Arizona,Houston,Houston
270501,UConn,Duke,UConn
664436,Iowa St.,Texas A&M,Texas A&M
540723,Iowa St.,Purdue,Purdue
1775353,UConn,Duke,UConn
2489763,Iowa St.,Kentucky,Iowa St.
3203714,UConn,Purdue,UConn
3677061,UConn,Kentucky,UConn
1400191,Auburn,Kentucky,Kentucky
3000653,UConn,Marquette,UConn
327339,UConn,Houston,UConn
3591386,Iowa St.,Houston,Houston
2960108,UConn,Kansas,UConn
3397976,North Carolina,Kentucky,North Carolina
1605897,UConn,Houston,UConn
958092,Auburn,Houston,Auburn
1603397,UConn,Marquette,UConn
552373,UConn,Purdue,UConn
1226048,UConn,Tennessee,UConn
3213548,Arizona,Kentucky,Arizona
2698834,UConn,Houston,UConn
2182490,UConn,Houston,UConn
2854315,UConn,Houston,UConn
732147,Arizona,Kentucky,Arizona
3418548,UConn,Purdue,UConn
3222401,UConn,Purdue,UConn
269185,UConn,Houston,UConn
1804176,UConn,Houston,UConn
3209084,UConn,Purdue,UConn
2635089,North Carolina,Houston,Houston
328482,UConn,Kentucky,UConn
131406,UConn,Gonzaga,UConn
1335272,UConn,Houston,UConn
3307126,UConn,Purdue,UConn
1663816,UConn,Houston,UConn
496793,UConn,Houston,UConn
2189779,UConn,Houston,UConn
1553107,Arizona,Marquette,Arizona
48927,UConn,Purdue,UConn
2210971,Iowa St.,Purdue,Purdue
328088,North Carolina,Houston,Houston
2068316,North Carolina,Houston,Houston
1369705,UConn,Gonzaga,UConn
1911556,UConn,Gonzaga,UConn
2576412,UConn,Houston,UConn
1114139,UConn,Purdue,UConn
1533718,UConn,Purdue,UConn
1844137,UConn,Duke,UConn
725967,North Carolina,McNeese,North Carolina
3288237,Iowa St.,Houston,Iowa St.
1807212,UConn,Houston,UConn
2237850,UConn,Kentucky,Kentucky
2804498,Arizona,Houston,Houston
2534555,UConn,Houston,UConn
3060982,UConn,Kentucky,UConn
1495154,Iowa St.,Houston,Iowa St.
922272,Iowa St.,Kentucky,Iowa St.
2463566,UConn,Purdue,UConn
1339745,UConn,Kentucky,UConn
890512,UConn,Houston,UConn
417796,UConn,Houston,UConn
2992810,Iowa St.,Duke,Iowa St.
90636,Illinois,Houston,Houston
2876050,UConn,Purdue,Purdue
2559719,UConn,Tennessee,UConn
2791810,UConn,Creighton,UConn
1389940,UConn,Duke,UConn
2245674,UConn,Houston,UConn
2611765,UConn,Purdue,UConn
858167,Auburn,Kansas,Auburn
2501384,Arizona,Houston,Arizona
274722,UConn,Kentucky,Kentucky
3148294,UConn,Houston,UConn
3012264,Auburn,Tennessee,Tennessee
430496,UConn,Kentucky,UConn
800796,BYU,Texas Tech,BYU
1132584,Baylor,Wisconsin,Wisconsin
2259320,Illinois,Houston,Houston
2359649,Auburn,Houston,Houston
3001621,UConn,Kentucky,UConn
1566814,North Carolina,Houston,Houston
531167,Auburn,Houston,Houston
515935,Iowa St.,Purdue,Purdue
2679062,UConn,Kentucky,UConn
1391012,UConn,Houston,UConn
55524,UConn,Houston,UConn
3129878,Iowa St.,Houston,Houston
3580439,North Carolina,Houston,Houston
1086627,UConn,Houston,UConn
1372035,UConn,Creighton,UConn
506525,Iowa St.,Houston,Houston
2250378,Arizona,Purdue,Purdue
1551567,Iowa St.,Houston,Houston
3160822,UConn,Kentucky,UConn
988145,UConn,Kentucky,UConn
3138420,Arizona,Tennessee,Tennessee
2214409,UConn,Houston,UConn
2545254,UConn,Kentucky,UConn
2474736,Iowa St.,Marquette,Marquette
2499043,Arizona,Kentucky,Arizona
1136263,UConn,Houston,UConn
2150052,Iowa St.,Kentucky,Iowa St.
1695894,Iowa St.,Creighton,Iowa St.
1335736,North Carolina,Kentucky,Kentucky
2218082,Illinois,Houston,Illinois
2260492,UConn,Gonzaga,UConn
28092,Arizona,Houston,Houston
2219076,UConn,Kentucky,UConn
2198399,UConn,Kentucky,UConn
3391491,UConn,Houston,UConn
3123092,Northwestern,Oregon,Oregon
3746811,Arizona,Purdue,Purdue
1477494,UConn,Houston,UConn
936402,UConn,Houston,Houston
3560776,UConn,Houston,UConn
115012,UConn,Houston,UConn
833183,UConn,Marquette,UConn
2605439,UConn,Houston,UConn
3046746,Arizona,Kentucky,Kentucky
392404,UConn,Houston,UConn
1433714,UConn,Purdue,UConn
3184937,North Carolina,Houston,Houston
1918122,BYU,Samford,BYU
788137,UConn,Houston,UConn
646671,UConn,Marquette,UConn
2250426,UConn,Houston,UConn
1772808,North Carolina,Kentucky,Kentucky
426889,North Carolina,Houston,Houston
1509231,UConn,Purdue,UConn
1506106,UConn,Houston,UConn
2116420,North Carolina,Tennessee,North Carolina
3336271,UConn,Duke,UConn
712709,UConn,Houston,UConn
425983,UConn,Purdue,UConn
1804522,UConn,Kentucky,UConn
3533773,UConn,Kentucky,UConn
1292058,UConn,Houston,UConn
1641881,UConn,Tennessee,UConn
2887134,UConn,Kentucky,UConn
363496,UConn,Houston,UConn
1548586,UConn,Houston,UConn
1448965,UConn,Purdue,UConn
1364253,UConn,Purdue,UConn
2310849,North Carolina,Houston,North Carolina
806541,Iowa St.,Kentucky,Kentucky
936248,UConn,Purdue,UConn
732470,UConn,Tennessee,UConn
2293814,UConn,Purdue,UConn
1939033,North Carolina,Purdue,North Carolina
2148852,Illinois,Purdue,Illinois
2287093,UConn,Purdue,UConn
339885,UConn,Kentucky,UConn
75866,UConn,Houston,UConn
299633,UConn,Tennessee,UConn
665313,UConn,Purdue,UConn
3435130,UConn,Houston,UConn
1119219,UConn,Marquette,UConn
2992317,North Carolina,Tennessee,North Carolina
3516725,UConn,Houston,Houston
2686355,North Carolina,Houston,North Carolina
2412523,UConn,Houston,UConn
2449789,UConn,Marquette,UConn
2974480,UConn,Tennessee,UConn
2649931,Arizona,Purdue,Purdue
1057893,Arizona,Tennessee,Arizona
3400593,UConn,Houston,UConn
3440074,UConn,Purdue,UConn
306327,UConn,Houston,UConn
1922898,UConn,Kentucky,UConn
3070768,UConn,Tennessee,UConn
3239076,North Carolina,Houston,North Carolina
1338530,North Carolina,Purdue,Purdue
2353921,Iowa St.,Houston,Iowa St.
2482713,Iowa St.,Tennessee,Tennessee
3133413,Dayton,Purdue,Purdue
1956118,UConn,Purdue,UConn
1832059,Arizona,Houston,Houston
1639644,North Carolina,Tennessee,North Carolina
1506205,Iowa St.,Houston,Houston
2611909,UConn,Houston,UConn
3369535,UConn,Kentucky,Kentucky
3304772,Auburn,Kentucky,Kentucky
1333565,UConn,Houston,UConn
444914,UConn,Houston,UConn
1522616,UConn,Purdue,UConn
2657503,UConn,Houston,UConn
254809,Iowa St.,Duke,Iowa St.
1962297,UConn,Houston,UConn
1153021,North Carolina,Houston,North Carolina
2931082,UConn,Kansas,UConn
1322640,UConn,Purdue,UConn
1952844,Iowa St.,Houston,Houston
861923,Auburn,Vermont,Auburn
484393,UConn,Marquette,UConn
3699135,UConn,Houston,Houston
2723934,UConn,Kentucky,Kentucky
3092646,UConn,Houston,UConn
1480735,UConn,Gonzaga,UConn
3273381,UConn,Gonzaga,UConn
2172495,North Carolina,Purdue,North Carolina
1357383,North Carolina,Purdue,North Carolina
1459813,UConn,Houston,UConn
1461221,UConn,Tennessee,UConn
3160018,Arizona,Kentucky,Arizona
2477192,UConn,Houston,UConn
1307036,Illinois,Kentucky,Kentucky
512365,UConn,Purdue,UConn
1506759,UConn,Purdue,UConn
1542510,UConn,Duke,UConn
2135168,Iowa St.,Purdue,Purdue
2601130,UConn,Houston,UConn
2075351,Michigan St.,Kansas,Michigan St.
2001662,UConn,Houston,UConn
953785,Arizona,Kentucky,Arizona
1821770,Arizona,Creighton,Creighton
3194519,UConn,Purdue,UConn
1452336,UConn,Houston,UConn
1798159,UConn,Houston,UConn
950621,Arizona,Kentucky,Arizona
678971,Auburn,Houston,Houston
567025,UConn,Houston,UConn
2828735,Auburn,Tennessee,Tennessee
2252046,Iowa St.,Houston,Iowa St.
864720,UConn,Houston,Houston
1034218,UConn,Houston,UConn
2129482,Auburn,Kentucky,Kentucky
3315455,UConn,Houston,Houston
1482409,UConn,Houston,UConn
1483008,UConn,Tennessee,UConn
2972983,UConn,Kentucky,UConn
913188,UConn,Duke,UConn
3558311,Iowa St.,Houston,Houston
2777808,UConn,Purdue,UConn
461330,North Carolina,Purdue,Purdue
2828540,UConn,Houston,UConn
2410854,UConn,Tennessee,UConn
1257936,UConn,Marquette,UConn
2050490,Iowa St.,Creighton,Iowa St.
2240884,Iowa St.,Houston,Houston
985537,UConn,Houston,UConn
1614893,Arizona,Kentucky,Arizona
672151,UConn,Houston,UConn
2770357,UConn,Kentucky,UConn
2391257,Arizona,Houston,Arizona
1110338,UConn,Houston,UConn
1315662,Alabama,Tennessee,Tennessee
618085,North Carolina,Houston,Houston
190968,UConn,Kentucky,UConn
1341599,UConn,Houston,UConn
2686394,Illinois,Kansas,Illinois
2532651,Iowa St.,Houston,Houston
847612,UConn,Tennessee,UConn
1912423,UConn,Tennessee,UConn
1504382,Iowa St.,Duke,Duke
3163832,UConn,Duke,UConn
2931474,UConn,Tennessee,UConn
1580337,UConn,Houston,UConn
2915305,Arizona,Tennessee,Arizona
2065554,UConn,Vermont,Vermont
1723273,Iowa St.,Houston,Houston
1291045,UConn,Houston,UConn
1800871,Arizona,Purdue,Purdue
3618614,UConn,Kentucky,UConn
1575787,Auburn,Purdue,Purdue
3109628,UConn,Houston,UConn
2286409,UConn,Tennessee,UConn
569108,UConn,Houston,UConn
1221446,Iowa St.,Houston,Houston
1851400,UConn,Houston,UConn
2067372,North Carolina,Houston,Houston
1070892,North Carolina,Purdue,North Carolina
2084235,UConn,Houston,UConn
3399958,North Carolina,Houston,Houston
1805329,UConn,Houston,UConn
1386833,Arizona,Kentucky,Arizona
3741516,UConn,Purdue,UConn
831063,UConn,Houston,UConn
2259422,BYU,Kentucky,BYU
1041441,Iowa St.,Houston,Houston
1116238,UConn,Purdue,Purdue
851761,North Carolina,Tennessee,North Carolina
1102077,Iowa St.,Purdue,Purdue
1687684,Iowa St.,Purdue,Purdue
325162,UConn,Duke,UConn
2103405,UConn,Houston,Houston
2731959,UConn,Houston,UConn
3027314,Arizona,Tennessee,Arizona
3309813,Iowa St.,Houston,Houston
3289133,UConn,Tennessee,UConn
2248550,Iowa St.,Purdue,Purdue
2887885,UConn,Marquette,UConn
218476,UConn,Houston,UConn
1047261,UConn,Kentucky,UConn
800443,UConn,Houston,UConn
1423953,North Carolina,Purdue,North Carolina
51022,Arizona,McNeese,Arizona
3511015,UConn,Houston,UConn
2614270,North Carolina,Houston,Houston
298013,Auburn,Kentucky,Kentucky
2596715,UConn,Houston,UConn
1375549,UConn,Houston,UConn
3391298,North Carolina,Purdue,North Carolina
1690737,UConn,Kentucky,UConn
3025555,UConn,Purdue,UConn
3588811,Iowa St.,Purdue,Purdue
1476432,Auburn,Houston,Houston
959854,North Carolina,Houston,North Carolina
965243,Iowa St.,Tennessee,Tennessee
2729637,Iowa St.,Purdue,Purdue
260971,UConn,Houston,UConn
2245164,UConn,Houston,UConn
3641611,Iowa St.,Houston,Houston
460234,Iowa St.,Houston,Houston
1465684,UConn,Gonzaga,UConn
2279675,UConn,Kentucky,UConn
1756989,UConn,Houston,UConn
2795582,UConn,Tennessee,UConn
258945,UConn,Houston,UConn
3427608,Arizona,Houston,Houston
1176805,North Carolina,Houston,North Carolina
2585841,Arizona,Kentucky,Arizona
2212625,UConn,Purdue,UConn
1569593,UConn,Nebraska,Nebraska
2309826,UConn,Kentucky,UConn
3558543,UConn,Houston,UConn
842925,UConn,Houston,UConn
438149,Iowa St.,Kentucky,Kentucky
3614216,UConn,Houston,UConn
2827204,Arizona,Kentucky,Arizona
2106879,UConn,Houston,UConn
1519121,Baylor,Gonzaga,Gonzaga
3038143,Baylor,Houston,Houston
598158,UConn,Tennessee,UConn
1327338,UConn,Houston,UConn
786242,Iowa St.,Houston,Houston
2853545,UConn,Duke,UConn
2951728,North Carolina,Houston,North Carolina
985649,UConn,Purdue,UConn
526413,UConn,Tennessee,UConn
1476727,Alabama,Texas A&M,Texas A&M
1930852,Arizona,Kentucky,Arizona
3518398,Arizona,Houston,Houston
1606419,North Carolina,Houston,North Carolina
3018460,Saint Mary's,Tennessee,Tennessee
1828480,UConn,Purdue,Purdue
997503,Arizona,Houston,Houston
1446039,UConn,Houston,UConn
1187368,Arizona,Houston,Houston
3640545,UConn,Houston,UConn
2300057,UConn,Purdue,UConn
2123637,Arizona,Purdue,Purdue
1380268,UConn,Purdue,UConn
729761,UConn,Marquette,UConn
1934337,UConn,Kentucky,UConn
1415694,North Carolina,Purdue,North Carolina
688933,UConn,Marquette,UConn
2639342,UConn,Houston,UConn
304034,UConn,Houston,UConn
1269744,UConn,Kentucky,Kentucky
419782,North Carolina,Purdue,North Carolina
1431850,Iowa St.,Kentucky,Kentucky
711699,Iowa St.,Houston,Houston
2586236,UConn,Houston,UConn
3584282,UConn,Houston,UConn
1606401,UConn,Purdue,UConn
3282761,UConn,Purdue,UConn
3175511,Arizona,Kentucky,Arizona
3227335,Auburn,Purdue,Purdue
485190,UConn,Kentucky,UConn
1347168,UConn,Purdue,UConn
2013594,Arizona,Purdue,Purdue
1079884,Auburn,Houston,Houston
1247773,Iowa St.,Kentucky,Iowa St.
3229578,North Carolina,Purdue,Purdue
316572,UConn,Tennessee,UConn
1192381,UConn,Houston,UConn
2609735,UConn,Houston,UConn
3525104,UConn,Kentucky,UConn
922409,UConn,Kentucky,UConn
2843003,UConn,Kentucky,UConn
3516714,UConn,Purdue,UConn
2665705,UConn,Kentucky,UConn
3492205,Iowa St.,Houston,Houston
2135635,Iowa St.,Kentucky,Kentucky
2906684,North Carolina,Tennessee,North Carolina
874728,Arizona,Houston,Houston
844926,North Carolina,Creighton,North Carolina
558343,Iowa St.,Houston,Houston
1695278,Illinois,Houston,Houston
1794512,Iowa St.,Purdue,Purdue
2192982,UConn,Houston,UConn
2822823,UConn,Houston,UConn
1289447,Iowa St.,Akron,Iowa St.
2976742,UConn,Houston,UConn
3018144,North Carolina,Kentucky,North Carolina
1228898,Arizona,Purdue,Purdue
2563871,UConn,Houston,UConn
3708066,UConn,Creighton,UConn
2117883,UConn,Houston,UConn
998383,UConn,Kentucky,UConn
3198851,UConn,Houston,UConn
2342282,Arizona,Houston,Houston
605688,UConn,Gonzaga,UConn
638372,Iowa St.,Purdue,Purdue
398070,Illinois,Houston,Houston
829914,UConn,Purdue,UConn
1128753,Auburn,Duke,Auburn
2783148,North Carolina,Houston,Houston
3112934,UConn,Kentucky,UConn
980096,Iowa St.,Houston,Houston
3326811,UConn,Houston,UConn
2228585,Iowa St.,Houston,Iowa St.
3117076,UConn,Houston,UConn
1783018,UConn,Houston,UConn
738153,North Carolina,Kentucky,North Carolina
2640621,Auburn,Gonzaga,Auburn
2601911,UConn,Purdue,UConn
2763042,North Carolina,Purdue,North Carolina
381977,UConn,Houston,UConn
570608,UConn,Houston,UConn
3298324,North Carolina,Houston,Houston
2652177,UConn,Houston,UConn
1916242,North Carolina,Purdue,North Carolina
1673400,Iowa St.,Houston,Houston
2388959,Arizona,Purdue,Purdue
2549474,UConn,Houston,UConn
3079797,UConn,Houston,UConn
1128308,UConn,Kentucky,UConn
1318001,UConn,Houston,UConn
2375176,UConn,Houston,UConn
464396,San Diego St.,Houston,Houston
1311919,UConn,Tennessee,UConn
3179172,UConn,Houston,UConn
1195073,New Mexico,Purdue,Purdue
2928593,North Carolina,Houston,North Carolina
1300028,UConn,Houston,UConn
2276303,Iowa St.,Marquette,Iowa St.
